19080,1649992827,1649992827,13,68,7,66,1,1.00,0.07
123483,1684667930,1684667930,13,68,7,66,1,1.00,0.00
123484,1684667934,1684667934,13,68,7,66,2,1.00,2.72
149102,1691823769,1691823769,13,68,7,66,1,1.00,0.00
149103,1691823774,1691823774,13,68,7,66,3,1.00,107.37
149104,1691823774,1691823774,13,68,7,66,1,1.00,107.37
149105,1691823779,1691823779,13,68,7,66,3,1.00,196.29
149106,1691823779,1691823779,13,68,7,66,1,1.00,196.29
149107,1691823787,1691823787,13,68,7,66,3,1.00,295.27
149108,1691823787,1691823787,13,68,7,66,1,1.00,295.27
149116,1709543758,1709543758,13,68,7,66,1,1.00,0.00
149117,1709543761,1709543761,13,68,7,66,2,1.00,3.33
240,1646478622,1646478622,13,68,12,66,1,1.00,0.01
241,1646478624,1646478624,13,68,12,66,6,2.00,2.89
261,1646479143,1646479143,13,68,12,66,2,2.00,1040.84
262,1646479144,1646479144,13,68,12,66,1,2.00,1040.97
271,1646479582,1646479582,13,68,12,66,2,2.00,1917.50
272,1646479583,1646479583,13,68,12,66,1,2.00,1917.62
273,1646479584,1646479584,13,68,12,66,2,2.00,1917.96
274,1646479616,1646479616,13,68,12,66,1,2.00,1917.96
275,1646479620,1646479620,13,68,12,66,2,2.00,1924.66
276,1646479620,1646479620,13,68,12,66,5,2.00,1924.66
222,1646477864,1646477864,13,68,13,66,1,1.00,0.00
257,1646478901,1646478901,13,68,13,66,2,1.00,1036.82
260,1646479129,1646479129,13,68,13,66,1,1.00,1036.82
265,1646479348,1646479348,13,68,13,66,2,1.00,1254.60
671,1646619897,1646619897,13,68,13,66,1,1.00,0.00
682,1646620224,1646620224,13,68,13,66,1,1.00,0.00
683,1646620227,1646620227,13,68,13,66,3,1.00,1076.91
685,1646620279,1646620279,13,68,13,66,2,1.00,1127.83
686,1646620341,1646620341,13,68,13,66,1,1.00,1127.83
687,1646620397,1646620397,13,68,13,66,2,1.00,1182.74
688,1646620484,1646620484,13,68,13,66,1,1.00,1182.74
693,1646621226,1646621226,13,68,13,66,2,1.00,1924.66
694,1646621226,1646621226,13,68,13,66,5,1.00,1924.66
211,1646477803,1646477803,13,68,14,66,1,1.00,0.00
215,1646477834,1646477834,13,68,14,66,3,1.00,737.86
216,1646477834,1646477834,13,68,14,66,3,1.00,742.37
217,1646477839,1646477839,13,68,14,66,1,1.00,0.00
218,1646477839,1646477839,13,68,14,66,4,1.00,0.00
219,1646477839,1646477839,13,68,14,66,3,1.00,892.69
220,1646477849,1646477849,13,68,14,66,2,1.00,7.44
1548,1647246207,1647246207,13,68,14,66,1,1.00,0.00
1579,1647246772,1647246772,13,68,14,66,2,1.00,561.46
1580,1647246773,1647246773,13,68,14,66,1,1.00,561.52
1581,1647246774,1647246774,13,68,14,66,2,1.00,562.50
1582,1647246800,1647246800,13,68,14,66,1,1.00,562.50
1592,1647247131,1647247131,13,68,14,66,2,1.00,893.43
1593,1647247144,1647247144,13,68,14,66,1,1.00,0.00
1594,1647247146,1647247146,13,68,14,66,3,1.00,966.77
1595,1647247146,1647247146,13,68,14,66,3,1.00,969.46
1609,1647248103,1647248103,13,68,14,66,2,1.00,1924.66
1610,1647248103,1647248103,13,68,14,66,5,1.00,1924.66
98090,1677635686,1677635686,13,68,14,66,2,1.00,0.00
98091,1677635687,1677635687,13,68,14,66,1,1.00,0.00
98092,1677635690,1677635690,13,68,14,66,2,1.00,0.92
98093,1677635727,1677635727,13,68,14,66,1,1.00,0.00
98094,1677635735,1677635735,13,68,14,66,2,1.00,1.01
98229,1677635960,1677635960,13,68,14,66,1,1.00,0.00
98381,1677729140,1677729140,13,68,14,66,1,1.00,0.00
98382,1677729151,1677729151,13,68,14,66,2,1.00,10.79
98383,1677729156,1677729156,13,68,14,66,1,1.00,10.87
209,1646477792,1646477792,13,68,15,66,1,1.00,0.00
282,1646479719,1646479719,13,68,15,66,2,1.00,1924.66
283,1646479719,1646479719,13,68,15,66,5,1.00,1924.66
288,1646479806,1646479806,13,68,15,66,1,1.00,0.00
289,1646479806,1646479806,13,68,15,66,4,1.00,0.00
239,1646478371,1646478371,13,68,16,66,1,1.00,0.00
245,1646478720,1646478720,13,68,16,66,2,1.00,333.35
246,1646478722,1646478722,13,68,16,66,1,1.00,333.35
266,1646479413,1646479413,13,68,16,66,2,1.00,747.36
267,1646479414,1646479414,13,68,16,66,1,1.00,747.36
268,1646479480,1646479480,13,68,16,66,2,1.00,747.47
269,1646479480,1646479480,13,68,16,66,1,1.00,747.52
318,1646480677,1646480677,13,68,16,66,5,1.00,1924.66
319,1646480677,1646480677,13,68,16,66,2,1.00,1924.66
1978,1647271518,1647271518,13,68,17,66,1,1.00,0.00
1979,1647271522,1647271522,13,68,17,66,2,1.00,3.73
1980,1647271524,1647271524,13,68,17,66,3,1.00,1822.09
1981,1647271527,1647271527,13,68,17,66,1,1.00,1822.09
1982,1647271530,1647271530,13,68,17,66,3,1.00,1905.52
1983,1647271530,1647271530,13,68,17,66,1,1.00,1905.52
10430,1648900353,1648900353,13,68,17,66,1,1.00,0.00
10433,1648900416,1648900416,13,68,17,66,3,1.00,181.09
10434,1648900416,1648900416,13,68,17,66,1,1.00,181.09
10435,1648900419,1648900419,13,68,17,66,3,1.00,280.45
10436,1648900420,1648900420,13,68,17,66,1,1.00,280.45
10437,1648900421,1648900421,13,68,17,66,3,1.00,413.46
10438,1648900429,1648900429,13,68,17,66,6,2.00,420.34
10439,1648900431,1648900431,13,68,17,66,3,2.00,440.70
10440,1648900431,1648900431,13,68,17,66,1,2.00,440.70
10441,1648900432,1648900432,13,68,17,66,3,2.00,459.93
10442,1648900432,1648900432,13,68,17,66,1,2.00,459.93
10443,1648900433,1648900433,13,68,17,66,3,2.00,488.78
10444,1648900433,1648900433,13,68,17,66,1,2.00,488.78
10453,1648900462,1648900462,13,68,17,66,2,2.00,546.40
10454,1648900547,1648900547,13,68,17,66,1,2.00,546.40
10455,1648900590,1648900590,13,68,17,66,3,2.00,665.06
10456,1648900590,1648900590,13,68,17,66,1,2.00,665.06
10457,1648900591,1648900591,13,68,17,66,3,2.00,689.09
10458,1648900592,1648900592,13,68,17,66,1,2.00,689.09
10459,1648900657,1648900657,13,68,17,66,4,2.00,804.48
